Property Type,Bed,Bath,Area,Location,Price,View,Balcony_or_Terrace,Lobby_in_Building,ElectricityBackup,Intercom,CCTV_Security,Pet Policy,Maintenance_Staff,CleaningServices,Tiles
Apartment,2,2,775,Sector 10,"3,800,000",West,Yes,Yes,Yes,Yes,Yes,Not allowed,Yes,Yes,Yes
Apartment,2,2,765,Sector 10,"3,978,000",East,Yes,Yes,Yes,Yes,No,Not allowed,Yes,Yes,No
Apartment,2,2,772,Sector 10,"4,000,000",South,Yes,No,Yes,No,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,1008,Sector 10,"4,200,000",Nort,Yes,No,Yes,Yes,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,"1,005",Sector 10,"4,200,000",East,Yes,Yes,Yes,Yes,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,910,Sector 13,"4,200,000",West,Yes,Yes,No,Yes,No,Not allowed,Yes,Yes,No
Apartment,2,2,950,Sector 10,"4,500,000",South,Yes,Yes,Yes,Yes,Yes,Not allowed,Yes,Yes,Yes
Apartment,2,2,"1,050",Sector 14,"4,500,000",South,Yes,No,No,No,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,950,Sector 12,"4,500,000",East,Yes,No,No,No,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,900,Sector 10,"4,500,000",South,Yes,Yes,Yes,Yes,Yes,Not allowed,Yes,Yes,No
Apartment,2,2,750,Sector 12," 4,500,000",Nort,Yes,No,Yes,No,Yes,Not allowed,Yes,Yes,No
Apartment,2,2,885,Sector 12,"4,500,000",West,Yes,No,Yes,No,Yes,Not allowed,Yes,Yes,Yes
Apartment,3,2,900,Sector 10,"4,500,000",South,Yes,No,No,No,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,860,Sector 10,"4,600,000",West,Yes,Yes,Yes,Yes,Yes,Not allowed,Yes,Yes,No
Apartment,2,2,910,Sector 13,"4,700,000",west,Yes,Yes,No,Yes,No,Not allowed,Yes,Yes,No
Apartment,2,2,900,Sector 12,"4,700,000",West,Yes,Yes,No,Yes,No,Not allowed,Yes,Yes,No
Apartment,2,2,950,Sector 12," 4,800,000",East,Yes,No,No,No,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,950,Sector D,"5,000,000",South,Yes,Yes,Yes,Yes,Yes,Not allowed,No,Yes,Yes
Apartment,2,2,950,Sector D,"5,000,000",South,Yes,Yes,Yes,Yes,Yes,Not allowed,No,Yes,Yes
Apartment,2,2,980,Sector 10,"5,000,000",Nort,Yes,Yes,Yes,Yes,Yes,Not allowed,Yes,Yes,No
Apartment,3,2,1000,Sector 14,"5,000,000",West,Yes,Yes,No,Yes,No,Not allowed,Yes,Yes,No
Apartment,2,2,950,Sector 10,"5,000,000",South,Yes,Yes,Yes,Yes,Yes,Not allowed,Yes,Yes,No
Apartment,2,2,1005,Sector 10,"5,000,000",East,Yes,No,No,No,No,Not allowed,Yes,Yes,Yes
Apartment,2,2,1065,Sector 10,"5,000,000",East,Yes,No,No,Yes,No,Not allowed,No,No,No
Apartment,2,2,807,Sector 5,"5,200,000",West,Yes,Yes,Yes,Yes,Yes,Not allowed,Yes,Yes,No
Apartment,2,2,900,Sector 10,"5,200,000",East,Yes,No,No,No,No,Not allowed,Yes,Yes,Yes
