Property Type,Bed,Bath,Area,Location,Price,,,,,,,,,,,
Apartment,2,2,775,Sector 10,"3,800,000",,,,,,,,,,,
Apartment,2,2,765,Sector 10,"3,978,000",,,,,,,,,,,
Apartment,2,2,772,Sector 10,"4,000,000",,,,,,,,,,,
Apartment,2,2,1008,Sector 10,"4,200,000",,,,,,,,,,,
Apartment,2,2,"1,005",Sector 10,"4,200,000",,,,,,,,,,,
Apartment,2,2,910,Sector 13,"4,200,000",,,,,,,,,,,
Apartment,2,2,950,Sector 10,"4,500,000",,,,,,,,,,,
Apartment,2,2,"1,050",Sector 14,"4,500,000",,,,,,,,,,,
Apartment,2,2,950,Sector 12,"4,500,000",,,,,,,,,,,
Apartment,2,2,900,Sector 10,"4,500,000",,,,,,,,,,,
Apartment,2,2,750,Sector 12," 4,500,000",,,,,,,,,,,
Apartment,2,2,885,Sector 12,"4,500,000",,,,,,,,,,,
Apartment,3,2,900,Sector 10,"4,500,000",,,,,,,,,,,
Apartment,2,2,860,Sector 10,"4,600,000",,,,,,,,,,,
Apartment,2,2,910,Sector 13,"4,700,000",,,,,,,,,,,
Apartment,2,2,900,Sector 12,"4,700,000",,,,,,,,,,,
Apartment,2,2,950,Sector 12," 4,800,000",,,,,,,,,,,
Apartment,2,2,950,Sector D,"5,000,000",,,,,,,,,,,
Apartment,2,2,950,Sector D,"5,000,000",,,,,,,,,,,
Apartment,2,2,980,Sector 10,"5,000,000",,,,,,,,,,,
Apartment,3,2,1000,Sector 14,"5,000,000",,,,,,,,,,,
Apartment,2,2,950,Sector 10,"5,000,000",,,,,,,,,,,
Apartment,2,2,1005,Sector 10,"5,000,000",,,,,,,,,,,
Apartment,2,2,1065,Sector 10,"5,000,000",,,,,,,,,,,
Apartment,2,2,807,Sector 5,"5,200,000",,,,,,,,,,,
Apartment,2,2,900,Sector 10,"5,200,000",,,,,,,,,,,
Apartment,3,2,1050,Sector 10,"5,250,000",,,,,,,,,,,
Apartment,2,2,1000,Sector 11,"5,500,000",,,,,,,,,,,
Apartment,2,2,950,Sector 11,"5,500,000",,,,,,,,,,,
Apartment,3,2,1000,Sector 5,"5,500,000",,,,,,,,,,,
Apartment,2,2,1400,Sector 12,"5,500,000",,,,,,,,,,,
Apartment,3,3,1230,Sector 5,"5,500,000",,,,,,,,,,,
Apartment,3,2,900,Sector 10,"5,500,000",,,,,,,,,,,
Apartment,2,2,900,Sector 12,"5,500,000",,,,,,,,,,,
Apartment,2,2,965,Sector 10,"5,500,000",,,,,,,,,,,
Apartment,2,2,850,Sector 12," 5,500,000",,,,,,,,,,,
Apartment,2,2,1089,Sector 12," 5,500,001",,,,,,,,,,,
Apartment,2,2,1000,Sector 13," 5,500,002",,,,,,,,,,,
Apartment,3,3,1205,Sector 10,"5,543,000",,,,,,,,,,,
Apartment,2,2,930,Sector 12,"5,580,000",,,,,,,,,,,
Apartment,3,2,1050,Sector 12,"5,600,000",,,,,,,,,,,
Apartment,3,2,1050,Sector D,"5,600,000",,,,,,,,,,,
Apartment,2,2,900,Sector 12,"5,600,000",,,,,,,,,,,
Apartment,2,2,900,Sector 12,"5,600,000",,,,,,,,,,,
Apartment,2,2,860,Sector 12,"5,632,000",,,,,,,,,,,
Apartment,3,2,1150,Sector 10,"5,800,000",,,,,,,,,,,
Apartment,3,2,913,Sector 1,"5,800,000",,,,,,,,,,,
Apartment,2,2,900,Sector 14,"5,800,000",,,,,,,,,,,
Apartment,2,2,790,Sector 12,"5,900,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10,"6,000,000",,,,,,,,,,,
Apartment,2,2,925,Sector 10,"6,000,000",,,,,,,,,,,
Apartment,3,3,1150,Sector 5,"6,000,000",,,,,,,,,,,
Apartment,3,2,920,Sector 14,"6,000,000",,,,,,,,,,,
Apartment,2,2,1000,Sector 11," 6,000,000",,,,,,,,,,,
Apartment,3,3,1130,Sector 14," 6,000,000",,,,,,,,,,,
Apartment,3,2,1050,Sector 14," 6,000,000",,,,,,,,,,,
Apartment,3,4,1155,Sector 14," 6,000,000",,,,,,,,,,,
Apartment,2,2,900,Sector 12," 6,000,000",,,,,,,,,,,
Apartment,2,3,900,Sector 14," 6,000,000",,,,,,,,,,,
Apartment,2,2,1100,Sector 14," 6,000,000",,,,,,,,,,,
Apartment,2,2,930,Sector 12," 6,000,000",,,,,,,,,,,
Apartment,3,3,1325,Sector 10,"6,095,000",,,,,,,,,,,
Apartment,3,2,1250,Sector 10,"6,200,000",,,,,,,,,,,
Apartment,2,2,1100,Sector 7,"6,300,000",,,,,,,,,,,
Apartment,3,2,1050,Sector 10,"6,300,000",,,,,,,,,,,
Apartment,3,3,1213,Sector 5,"6,500,000",,,,,,,,,,,
Apartment,2,2,1050,Sector 10,"6,500,000",,,,,,,,,,,
Apartment,3,3,1275,Sector 11,"6,500,000",,,,,,,,,,,
Apartment,2,2,1000,Sector 12," 6,500,000",,,,,,,,,,,
Apartment,3,3,1225,Sector 11,"6,500,000",,,,,,,,,,,
Apartment,3,3,1100,Sector 10,"6,500,000",,,,,,,,,,,
Apartment,3,3,1180,Sector 5,"6,500,000",,,,,,,,,,,
Apartment,3,2,950,Sector 11,"6,500,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 10,"6,500,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10," 6,500,000",,,,,,,,,,,
Apartment,3,2,1110,Sector 10,"6,500,000",,,,,,,,,,,
Apartment,3,3,1000,Sector 10,"6,500,000",,,,,,,,,,,
Apartment,2,2,805,Sector 6," 6,700,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 10,"6,960,000",,,,,,,,,,,
Apartment,3,3,1100,Sector 9,"7,000,000",,,,,,,,,,,
Apartment,3,3,1700,Sector 12,"7,000,000",,,,,,,,,,,
Apartment,3,3,1125,Sector 10,"7,000,000",,,,,,,,,,,
Apartment,3,2,1395,Sector 10,"7,000,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 10,"7,000,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10,"7,000,000",,,,,,,,,,,
Apartment,3,2,1250,Sector 13,"7,000,000",,,,,,,,,,,
Apartment,3,4,1517,Sector 13,"7,000,000",,,,,,,,,,,
Apartment,2,2,1070,Sector 12,"7,000,000",,,,,,,,,,,
Apartment,3,3,1305,Sector 10,"7,200,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 5,"7,200,000",,,,,,,,,,,
Apartment,3,3,1340,Sector 11," 7,200,000",,,,,,,,,,,
